No,,Ligação,,,Transporte de passageiros,
"",,Denominação,ida pass,,volta pass pass total,pass.km
"",CENTRO-OESTE,,358.046,,376.954 735.000,279.930.428
"",,,,,,
101,SALVADOR (BA) - CARUARU (PE),3.903,4.085,7.988,5.764.719
102,SALVADOR (BA) - GARANHUNS (PE),486,237,723,489.977
103,SALVADOR (BA) - JOAO PESSOA (PB),5.811,5.545,11.356,10.356.672
104,SALVADOR (BA) - JUAZEIRO DO NORTE (CE),397,314,711,710.076
105,SALVADOR (BA) - MACEIO (AL),20.150,19.212,39.362,24.126.307
106,SALVADOR (BA) - NATAL (RN),7.328,6.267,13.595,15.373.696
107,SALVADOR (BA) - PETROLINA (PE),7.917,7.048,14.965,7.657.591
108,SALVADOR (BA) - TERESINA (PI),4.904,4.264,9.168,10.327.752
109,SAO LUIS (MA) - CAMPINA GRANDE (PB),1.161,1.150,2.311,3.492.383
110,SAO LUIS (MA) - JOAO PESSOA (PB),1.363,1.334,2.697,4.404.201
111,SAO LUIS (MA) - NATAL (RN),1.345,1.237,2.582,4.637.551
112,SAO LUIS (MA) - PARNAIBA (PI),4.180,4.558,8.738,4.250.163
113,TERESINA (PI) - CAMPINA GRANDE (PB),19,80,99,107.801
114,TERESINA (PI) - JOAO PESSOA (PB),55,99,154,196.776
115,TERESINA (PI) - JUAZEIRO DO NORTE (CE),1.191,1.550,2.741,1.611.001
116,TERESINA (PI) - MACEIO (AL),570,595,1.165,1.524.519
117,TERESINA (PI) - MOSSORO (RN),130,142,272,229.205
118,TERESINA (PI) - NATAL (RN),576,532,1.108,1.507.156
119,TERESINA (PI) - PETROLINA (PE),4.803,5.987,10.790,6.808.490
120,TERESINA (PI) - SAO LUIS (MA),24.234,17.793,42.027,18.000.164
121,VITORIA DA CONQUISTA (BA) - ARACAJU (SE),3.797,3.694,7.491,5.332.094
122,VITORIA DA CONQUISTA (BA) - MACEIO (AL),1.035,1.214,2.249,2.203.208
"",NORTE,35.181,33.383,68.564,34.124.303
"",,,,,
123,PORTO VELHO (RO) - RIO BRANCO (AC),35.181,33.383,68.564,34.124.303
"",SUDESTE,3.264.112,3.178.759,6.442.871,2.683.721.612
"",,,,,
124,ARACATUBA (SP) - ARAGUARI (MG),128,112,240,129.432
