UF,Cidade1,Cidade2,Estado1,Estado2,Ida,Volta,Total,pass.km
088,RECIFE,PE,GARANHUNS,PE,1282,1174,2456,547934
089,RECIFE,PE,JOAO PESSOA,PB,260240,246761,507001,65200329
090,RECIFE,PE,JUAZEIRO,BA,11648,11499,23147,17566258
091,RECIFE,PE,JUAZEIRO DO NORTE,CE,4172,3420,7592,5023626
092,RECIFE,PE,MACEIO,AL,85152,82940,168092,44660450
093,RECIFE,PE,MOSSORO,RN,2672,2863,5535,3099600
094,RECIFE,PE,NATAL,RN,45344,45146,90490,26920775
095,RECIFE,PE,SALVADOR,BA,21518,20744,42262,34989684
096,RECIFE,PE,SAO LUIS,MA,8262,8007,16269,25112828
097,RECIFE,PE,TERESINA,PI,12450,11706,24156,26999161
098,RECIFE,PE,VITORIA DA CONQUISTA,BA,1365,1826,3191,3902771
099,SALVADOR,BA,ARACAJU,SE,119728,112319,232047,73211029
100,SALVADOR,BA,CAMPINA GRANDE,PB,5060,4614,9674,8261596
101,SALVADOR,BA,CARUARU,PE,3903,4085,7988,5764719
102,SALVADOR,BA,GARANHUNS,PE,486,237,723,489977
103,SALVADOR,BA,JOAO PESSOA,PB,5811,5545,11356,10356672
104,SALVADOR,BA,JUAZEIRO DO NORTE,CE,397,314,711,710076
105,SALVADOR,BA,MACEIO,AL,20150,19212,39362,24126307
106,SALVADOR,BA,NATAL,RN,7328,6267,13595,15373696
107,SALVADOR,BA,PETROLINA,PE,7917,7048,14965,7657591
108,SALVADOR,BA,TERESINA,PI,4904,4264,9168,10327752
109,SAO LUIS,MA,CAMPINA GRANDE,PB,1161,1150,2311,3492383
110,SAO LUIS,MA,JOAO PESSOA,PB,1363,1334,2697,4404201
111,SAO LUIS,MA,NATAL,RN,1345,1237,2582,4637551
112,SAO LUIS,MA,PARNAIBA,PI,4180,4558,8738,4250163
113,TERESINA,PI,CAMPINA GRANDE,PB,19,80,99,107801
114,TERESINA,PI,JOAO PESSOA,PB,55,99,154,196776
115,TERESINA,PI,JUAZEIRO DO NORTE,CE,1191,1550,2741,1611001
116,TERESINA,PI,MACEIO,AL,570,595,1165,1524519
117,TERESINA,PI,MOSSORO,RN,130,142,272,229205
118,TERESINA,PI,NATAL,RN,576,532,1108,1507156
119,TERESINA,PI,PETROLINA,PE,4803,5987,10790,6808490
120,TERESINA,PI,SAO LUIS,MA,24234,17793,42027,18000164
121,VITORIA DA CONQUISTA,BA,ARACAJU,SE,3797,3694,7491,5332094
122,VITORIA DA CONQUISTA,BA,MACEIO,AL,1035,1214,2249,2203208
123,PORTO VELHO,RO,RIO BRANCO,AC,35181,33383,68564,34124303
124,ARACATUBA,SP,ARAGUARI,MG,128,112,240,129432
125,ARACATUBA,SP,PRESPRUDENTE,SP,6518,5955,12473,2604362
126,ARACATUBA,SP,UBERLANDIA,MG,1002,905,1907,911688
127,ARAGUARI,MG,CAMPINAS,SP,1934,1958,3892,2140211
128,BARBACENA,MG,BARRA MANSA,RJ,1791,2524,4315,1252213
129,BARBACENA,MG,BRAGANCA PAULISTA,SP,505,406,911,431996
130,BARBACENA,MG,CABO FRIO,RJ,1336,1714,3050,1231285
131,BARBACENA,MG,CACHOEIRO DO ITAPEMIRIM,ES,251,267,518,224190
132,BARBACENA,MG,CAMPINAS,SP,4629,4484,9113,5859659
133,BARBACENA,MG,NITEROI,RJ,1556,934,2490,707409
134,BARBACENA,MG,RESENDE,RJ,545,358,903,291940
135,BARBACENA,MG,SAO JOSE DOS CAMPOS,SP,2239,2317,4556,2288003
136,BARBACENA,MG,VITORIA,ES,1476,1331,2807,1617393
137,BARRA MANSA,RJ,GOV VALADARES,MG,845,915,1760,1087504
138,BARRA MANSA,RJ,JUIZ DE FORA,MG,15720,16677,32397,6813089
139,BARRA MANSA,RJ,POUSO ALEGRE,MG,934,925,1859,507507
140,BARRA MANSA,RJ,SAO JOSE DOS CAMPOS,SP,2847,3352,6199,1355721
141,BARRA MANSA,RJ,TEOFILO OTONI,MG,380,377,757,568810
142,BARRA MANSA,RJ,VARGINHA,MG,3451,2929,6380,1888382
143,BARRETOS,SP,GOV VALADARES,MG,22,7,29,28568
144,BARRETOS,SP,TEOFILO OTONI,MG,20,2,22,24609
145,BELO HORIZONTE,MG,ARACATUBA,SP,1621,1725,3346,3007719
146,BELO HORIZONTE,MG,BARRA MANSA,RJ,13009,13406,26415,12061836
147,BELO HORIZONTE,MG,BARRETOS,SP,4745,5435,10180,6741196
148,BELO HORIZONTE,MG,CABO FRIO,RJ,30275,32586,62861,35830770
149,BELO HORIZONTE,MG,CACHOEIRO DO ITAPEMIRIM,ES,3653,3326,6979,3440337
150,BELO HORIZONTE,MG,CAMPINAS,SP,35114,36354,71468,44473908
151,BELO HORIZONTE,MG,FRANCA,SP,6439,6342,12781,5759119
152,BELO HORIZONTE,MG,NITEROI,RJ,15934,14151,30085,13550284
153,BELO HORIZONTE,MG,PRESPRUDENTE,SP,3445,3575,7020,6906941
154,BELO HORIZONTE,MG,RESENDE,RJ,661,606,1267,620323
155,BELO HORIZONTE,MG,SAO JOSE DO RIO PRETO,SP,10777,8859,19636,14552240
156,BELO HORIZONTE,MG,SAO JOSE DOS CAMPOS,SP,8945,8441,17386,10720044
157,BELO HORIZONTE,MG,VITORIA,ES,52023,49149,101172,53823504
158,BRAGANCA PAULISTA,SP,JUIZ DE FORA,MG,1889,924,2813,1329424
159,CACHOEIRO DO ITAPEMIRIM,ES,NITEROI,RJ,1143,1393,2536,996787
160,CACHOEIRO DO ITAPEMIRIM,ES,SAO JOSE DOS CAMPOS,SP,180,237,417,299224
161,CACHOEIRO DO ITAPEMIRIM,ES,VOLTA REDONDA,RJ,465,629,1094,545063
162,CAMPINAS,SP,BARRA MANSA,RJ,157,149,306,123379
163,CAMPINAS,SP,JUIZ DE FORA,MG,5561,5145,10706,5926842
